Days Since 2010, Injected, Date, Day, Weight (lb), Weight (2023),Delta,Delta 2023
2715,true,2017-07-10,07-10,181.2,,,
2716,true,2017-07-11,07-11,180.7,,,
2717,true,2017-07-12,07-12,180.1,,,
2718,true,2017-07-13,07-13,179.5,,,
2719,true,2017-07-14,07-14,179,,,
2720,true,2017-07-15,07-15,178.4,,,
2721,true,2017-07-16,07-16,177.8,,,
2722,true,2017-07-17,07-17,177.3,,,
2723,true,2017-07-18,07-18,176.7,,,
2724,true,2017-07-19,07-19,176.1,,,
2725,true,2017-07-20,07-20,175.6,,,
2726,true,2017-07-21,07-21,175,,,
2727,true,2017-07-22,07-22,174.4,,,
2728,true,2017-07-23,07-23,173.9,,,
2729,true,2017-07-24,07-24,173.3,,,
2730,true,2017-07-25,07-25,172.7,,,
2731,true,2017-07-26,07-26,172.2,,,
2732,true,2017-07-27,07-27,171.6,,,
2733,true,2017-07-28,07-28,171,,,
2734,true,2017-07-29,07-29,170.5,,,
2735,true,2017-07-30,07-30,169.9,,,
2736,true,2017-07-31,07-31,169.3,,,
2737,true,2017-08-01,08-01,168.8,,,
2738,true,2017-08-02,08-02,168.2,,,
2739,true,2017-08-03,08-03,167.6,,,
2740,true,2017-08-04,08-04,167.1,,,
2741,true,2017-08-05,08-05,166.5,,,
2742,true,2017-08-06,08-06,165.9,,,
2743,true,2017-08-07,08-07,165.4,,,
2744,true,2017-08-08,08-08,164.8,,,
2745,true,2017-08-09,08-09,164.2,,,
2746,true,2017-08-10,08-10,163.7,,,
2747,true,2017-08-11,08-11,163.1,,,
2748,true,2017-08-12,08-12,162.5,,,
2749,true,2017-08-13,08-13,162,,,
2750,true,2017-08-14,08-14,161.4,,,
2751,true,2017-08-15,08-15,160.8,,,
2752,true,2017-08-16,08-16,160.3,,,
2753,true,2017-08-17,08-17,159.7,,,
2754,true,2017-08-18,08-18,159.1,,,
2755,true,2017-08-19,08-19,158.6,,,
2756,true,2017-08-20,08-20,158,,,
2757,true,2017-08-21,08-21,157.4,,,
2758,true,2017-08-22,08-22,156.9,,,
2759,true,2017-08-23,08-23,156.3,,,
2760,true,2017-08-24,08-24,155.7,,,
2761,true,2017-08-25,08-25,155.2,,,
2762,true,2017-08-26,08-26,154.6,,,
2763,true,2017-08-27,08-27,154,,,
2764,true,2017-08-28,08-28,153.5,,,
2765,true,2017-08-29,08-29,152.9,,,
2766,true,2017-08-30,08-30,152.3,,,
2767,true,2017-08-31,08-31,151.8,,,
2768,true,2017-09-01,09-01,151.2,,,
2769,true,2017-09-02,09-02,150.6,,,
2770,true,2017-09-03,09-03,150.1,,,
2771,true,2017-09-04,09-04,149.5,,,
2772,true,2017-09-05,09-05,148.9,,,
2773,true,2017-09-06,09-06,148.4,,,
2774,true,2017-09-07,09-07,147.8,,,
2775,true,2017-09-08,09-08,147.2,,,
2776,true,2017-09-09,09-09,146.7,,,
2777,true,2017-09-10,09-10,146.1,,,
2778,true,2017-09-11,09-11,145.5,,,
2779,true,2017-09-12,09-12,145,,,
2780,true,2017-09-13,09-13,144.4,,,
2781,true,2017-09-14,09-14,143.8,,,
2782,true,2017-09-15,09-15,143.3,,,
2783,true,2017-09-16,09-16,142.7,,,
2784,true,2017-09-17,09-17,142.1,,,
2785,true,2017-09-18,09-18,141.6,,,
2786,true,2017-09-19,09-19,141,,,
2787,true,2017-09-20,09-20,140.4,,,
2788,true,2017-09-21,09-21,139.9,,,
2789,true,2017-09-22,09-22,139.3,,,
2790,true,2017-09-23,09-23,138.7,,,
2791,true,2017-09-24,09-24,138.2,,,
2792,true,2017-09-25,09-25,137.6,,,
2793,true,2017-09-26,09-26,137,,,
2794,true,2017-09-27,09-27,136.5,,,
2795,true,2017-09-28,09-28,135.9,,,
2796,true,2017-09-29,09-29,135.3,,,
2797,true,2017-09-30,09-30,134.8,,,
2798,true,2017-10-01,10-01,134.2,,,
2799,true,2017-10-02,10-02,133.6,,,
2800,true,2017-10-03,10-03,133,,,
2801,true,2017-10-04,10-04,132.5,,,
2802,true,2017-10-05,10-05,131.9,,,
2803,true,2017-10-06,10-06,131.3,,,
2804,true,2017-10-07,10-07,130.8,,,
2805,true,2017-10-08,10-08,130.2,,,
2806,true,2017-10-09,10-09,129.6,,,
2807,true,2017-10-10,10-10,129.1,,,
2808,true,2017-10-11,10-11,128.5,,,
2809,true,2017-10-12,10-12,127.9,,,
2810,true,2017-10-13,10-13,127.4,,,
2811,true,2017-10-14,10-14,126.8,,,
2812,true,2017-10-15,10-15,126.2,,,
2813,true,2017-10-16,10-16,125.7,,,
2814,true,2017-10-17,10-17,125.1,,,
2815,true,2017-10-18,10-18,124.5,,,
2816,true,2017-10-19,10-19,124,,,
2817,true,2017-10-20,10-20,123.4,,,
2818,true,2017-10-21,10-21,122.8,,,
2819,true,2017-10-22,10-22,122.3,,,
2820,true,2017-10-23,10-23,121.7,,,
2821,true,2017-10-24,10-24,121.1,,,
2822,true,2017-10-25,10-25,120.6,,,
2823,true,2017-10-26,10-26,120,,,
2824,true,2017-10-27,10-27,119.4,,,
2825,true,2017-10-28,10-28,118.9,,,
2826,true,2017-10-29,10-29,118.3,,,
2827,true,2017-10-30,10-30,117.7,,,
2828,true,2017-10-31,10-31,117.2,,,
2829,true,2017-11-01,11-01,116.6,,,
2830,true,2017-11-02,11-02,116,,,
2831,true,2017-11-03,11-03,115.5,,,
2832,true,2017-11-04,11-04,114.9,,,
2833,true,2017-11-05,11-05,114.3,,,
2834,true,2017-11-06,11-06,113.8,,,
2835,true,2017-11-07,11-07,113.2,,,
2836,true,2017-11-08,11-08,112.6,,,
2837,true,2017-11-09,11-09,112.1,,,
2838,true,2017-11-10,11-10,111.5,,,
2839,true,2017-11-11,11-11,110.9,,,
2840,true,2017-11-12,11-12,110.4,,,
2841,true,2017-11-13,11-13,109.8,,,
2842,true,2017-11-14,11-14,109.2,,,
2843,true,2017-11-15,11-15,108.7,,,
2844,true,2017-11-16,11-16,108.1,,,
2845,true,2017-11-17,11-17,107.5,,,
2846,true,2017-11-18,11-18,107,,,
2847,true,2017-11-19,11-19,106.4,,,
2848,true,2017-11-20,11-20,105.8,,,
2849,true,2017-11-21,11-21,105.3,,,
2850,true,2017-11-22,11-22,104.7,,,
2851,true,2017-11-23,11-23,104.1,,,
2852,true,2017-11-24,11-24,103.6,,,
2853,true,2017-11-25,11-25,103,,,
2854,true,2017-11-26,11-26,102.4,,,
2855,true,2017-11-27,11-27,101.9,,,
2856,true,2017-11-28,11-28,101.3,,,
2857,true,2017-11-29,11-29,100.7,,,
2858,true,2017-11-30,11-30,100.2,,,
2859,true,2017-12-01,12-01,99.6,,,
2860,true,2017-12-02,12-02,99,,,
2861,true,2017-12-03,12-03,98.5,,,
2862,true,2017-12-04,12-04,97.9,,,
2863,true,2017-12-05,12-05,97.3,,,
2864,true,2017-12-06,12-06,96.8,,,
2865,true,2017-12-07,12-07,96.2,,,
2866,true,2017-12-08,12-08,95.6,,,
2867,true,2017-12-09,12-09,95.1,,,
2868,true,2017-12-10,12-10,94.5,,,
2869,true,2017-12-11,12-11,93.9,,,
2870,true,2017-12-12,12-12,93.4,,,
2871,true,2017-12-13,12-13,92.8,,,
2872,true,2017-12-14,12-14,92.2,,,
2873,true,2017-12-15,12-15,91.7,,,
2874,true,2017-12-16,12-16,91.1,,,
2875,true,2017-12-17,12-17,90.5,,,
2876,true,2017-12-18,12-18,90,,,
2877,true,2017-12-19,12-19,89.4,,,
2878,true,2017-12-20,12-20,88.8,,,
2879,true,2017-12-21,12-21,88.3,,,
2880,true,2017-12-22,12-22,87.7,,,
2881,true,2017-12-23,12-23,87.1,,,
2882,true,2017-12-24,12-24,86.6,,,
2883,true,2017-12-25,12-25,86,,,
2884,true,2017-12-26,12-26,85.4,,,
2885,true,2017-12-27,12-27,84.9,,,
2886,true,2017-12-28,12-28,84.3,,,
2887,true,2017-12-29,12-29,83.7,,,
2888,true,2017-12-30,12-30,83.2,,,
2889,true,2017-12-31,12-31,82.6,,,
2890,true,2018-01-01,01-01,82,,,
2891,true,2018-01-02,01-02,81.5,,,
2892,true,2018-01-03,01-03,80.9,,,
2893,true,2018-01-04,01-04,80.3,,,
2894,true,2018-01-05,01-05,79.8,,,
2895,true,2018-01-06,01-06,79.2,,,
2896,true,2018-01-07,01-07,78.6,,,
2897,true,2018-01-08,01-08,78.1,,,
2898,true,2018-01-09,01-09,77.5,,,
2899,true,2018-01-10,01-10,76.9,,,
2900,true,2018-01-11,01-11,76.4,,,
2901,true,2018-01-12,01-12,75.8,,,
2902,true,2018-01-13,01-13,75.2,,,
2903,true,2018-01-14,01-14,74.7,,,
2904,true,2018-01-15,01-15,74.1,,,
2905,true,2018-01-16,01-16,73.5,,,
2906,true,2018-01-17,01-17,73,,,
2907,true,2018-01-18,01-18,72.4,,,
2908,true,2018-01-19,01-19,71.8,,,
2909,true,2018-01-20,01-20,71.3,,,
2910,true,2018-01-21,01-21,70.7,,,
2911,true,2018-01-22,01-22,70.1,,,
2912,true,2018-01-23,01-23,69.6,,,
2913,true,2018-01-24,01-24,69,,,
2914,true,2018-01-25,01-25,68.4,,,
2915,true,2018-01-26,01-26,67.9,,,
2916,true,2018-01-27,01-27,67.3,,,
2917,true,2018-01-28,01-28,66.7,,,
2918,true,2018-01-29,01-29,66.2,,,
2919,true,2018-01-30,01-30,65.6,,,
2920,true,2018-01-31,01-31,65,,,
2921,true,2018-02-01,02-01,64.5,,,
2922,true,2018-02-02,02-02,63.9,,,
2923,true,2018-02-03,02-03,63.3,,,
2924,true,2018-02-04,02-04,62.8,,,
2925,true,2018-02-05,02-05,62.2,,,
2926,true,2018-02-06,02-06,61.6,,,
2927,true,2018-02-07,02-07,61.1,,,
2928,true,2018-02-08,02-08,60.5,,,
2929,true,2018-02-09,02-09,59.9,,,
2930,true,2018-02-10,02-10,59.4,,,
2931,true,2018-02-11,02-11,58.8,,,
2932,true,2018-02-12,02-12,58.2,,,
2933,true,2018-02-13,02-13,57.7,,,
2934,true,2018-02-14,02-14,57.1,,,
2935,true,2018-02-15,02-15,56.5,,,
2936,true,2018-02-16,02-16,56,,,
2937,true,2018-02-17,02-17,55.4,,,
2938,true,2018-02-18,02-18,54.8,,,
2939,true,2018-02-19,02-19,54.3,,,
2940,true,2018-02-20,02-20,53.7,,,
2941,true,2018-02-21,02-21,53.1,,,
2942,true,2018-02-22,02-22,52.6,,,
2943,true,2018-02-23,02-23,52,,,
2944,true,2018-02-24,02-24,51.4,,,
2945,true,2018-02-25,02-25,50.9,,,
2946,true,2018-02-26,02-26,50.3,,,
2947,true,2018-02-27,02-27,49.7,,,
2948,true,2018-02-28,02-28,49.2,,,
2950,,2018-03-01,03-01,48.6,,,
2950,true,2018-03-02,03-02,72.3,,,
2951,true,2018-03-03,03-03,95.9,,,
2952,true,2018-03-04,03-04,119.6,,,
2953,true,2018-03-05,03-05,143.3,,,
2954,true,2018-03-06,03-06,167,,,
2955,true,2018-03-07,03-07,190.6,,,
2956,true,2018-03-08,03-08,214.3,,,
2957,true,2018-03-09,03-09,238,,,
2958,true,2018-03-10,03-10,261.7,,,
2959,true,2018-03-11,03-11,285.3,,,
2960,true,2018-03-12,03-12,309,,,
2961,true,2018-03-13,03-13,332.7,,,
2962,true,2018-03-14,03-14,356.3,,,
2963,true,2018-03-15,03-15,380,,,
2964,true,2018-03-16,03-16,403.7,,,
2965,true,2018-03-17,03-17,427.4,,,
2966,true,2018-03-18,03-18,451,,,
2968,,2018-03-19,03-19,474.7,,,
2969,,2018-03-20,03-20,471.1,,,
2969,true,2018-03-21,03-21,470.2,,,
2970,true,2018-03-22,03-22,469.2,,,
2971,true,2018-03-23,03-23,468.3,,,
2973,,2018-03-24,03-24,467.3,,,
2973,true,2018-03-25,03-25,466.4,,,
2974,true,2018-03-26,03-26,465.6,,,
2975,true,2018-03-27,03-27,464.7,,,
2976,true,2018-03-28,03-28,463.9,,,
2978,,2018-03-29,03-29,463,,,
2979,,2018-03-30,03-30,461.8,,,
2979,true,2018-03-31,03-31,461.8,,,
2980,true,2018-04-01,04-01,461.7,,,
2981,true,2018-04-02,04-02,461.7,,,
2982,true,2018-04-03,04-03,461.6,,,
2983,true,2018-04-04,04-04,461.6,,,
2984,true,2018-04-05,04-05,461.5,,,
2985,true,2018-04-06,04-06,461.5,,,
2987,,2018-04-07,04-07,461.4,,,
2987,true,2018-04-08,04-08,461.2,,,
2988,true,2018-04-09,04-09,460.9,,,
2989,true,2018-04-10,04-10,460.7,,,
2990,true,2018-04-11,04-11,460.5,,,
2991,true,2018-04-12,04-12,460.3,,,
2992,true,2018-04-13,04-13,460,,,
2994,,2018-04-14,04-14,459.8,,,
2995,,2018-04-15,04-15,456.1,,,
2995,true,2018-04-16,04-16,456,,,
2996,true,2018-04-17,04-17,455.9,,,
2997,true,2018-04-18,04-18,455.8,,,
2998,true,2018-04-19,04-19,455.7,,,
2999,true,2018-04-20,04-20,455.6,,,
3000,true,2018-04-21,04-21,455.5,,,
3002,,2018-04-22,04-22,455.4,,,
3002,true,2018-04-23,04-23,454.2,,,
3003,true,2018-04-24,04-24,452.9,,,
3004,true,2018-04-25,04-25,451.7,,,
3006,,2018-04-26,04-26,450.4,,,
3006,true,2018-04-27,04-27,450.3,,,
3007,true,2018-04-28,04-28,450.1,,,
3008,true,2018-04-29,04-29,450,,,
3009,true,2018-04-30,04-30,449.9,,,
3010,true,2018-05-01,05-01,449.7,,,
3011,true,2018-05-02,05-02,449.6,,,
3012,true,2018-05-03,05-03,449.5,,,
3013,true,2018-05-04,05-04,449.3,,,
3015,,2018-05-05,05-05,449.2,,,
3016,,2018-05-06,05-06,447.8,,,
3017,,2018-05-07,05-07,446,,,
3018,,2018-05-08,05-08,449.5,,,
3019,,2018-05-09,05-09,450.4,,,
3020,,2018-05-10,05-10,448.9,,,
3021,,2018-05-11,05-11,451.2,,,
3022,,2018-05-12,05-12,448.8,,,
3023,,2018-05-13,05-13,446.3,,,
3024,,2018-05-14,05-14,446.7,,,
3025,,2018-05-15,05-15,443.6,,,
3026,,2018-05-16,05-16,443.6,,,
3027,,2018-05-17,05-17,440.5,,,
3028,,2018-05-18,05-18,442.1,,,
3029,,2018-05-19,05-19,443.3,,,
3030,,2018-05-20,05-20,444.6,,,
3031,,2018-05-21,05-21,443,,,
3032,,2018-05-22,05-22,440.2,,,
3033,,2018-05-23,05-23,437.2,,,
3034,,2018-05-24,05-24,438.2,,,
3035,,2018-05-25,05-25,436.6,,,
3036,,2018-05-26,05-26,435.5,,,
3037,,2018-05-27,05-27,439.6,,,
3038,,2018-05-28,05-28,440,,,
3039,,2018-05-29,05-29,438.8,,,
3040,,2018-05-30,05-30,437,,,
3041,,2018-05-31,05-31,437.3,,,
3042,,2018-06-01,06-01,441.3,,,
3043,,2018-06-02,06-02,439.5,,,
3044,,2018-06-03,06-03,437,,,
3045,,2018-06-04,06-04,434.6,,,
3046,,2018-06-05,06-05,432.8,,,
3047,,2018-06-06,06-06,435.9,,,
3048,,2018-06-07,06-07,430,,,
3049,,2018-06-08,06-08,436.6,,,
3050,,2018-06-09,06-09,432.7,,,
3051,,2018-06-10,06-10,436.7,,,
3052,,2018-06-11,06-11,433.5,,,
3053,,2018-06-12,06-12,433.3,,,
3054,,2018-06-13,06-13,431,,,
3055,,2018-06-14,06-14,430.3,,,
3056,,2018-06-15,06-15,427.5,,,
3057,,2018-06-16,06-16,429.6,,,
3058,,2018-06-17,06-17,428.9,,,
3059,,2018-06-18,06-18,427.6,,,
3060,,2018-06-19,06-19,432.1,,,
3061,,2018-06-20,06-20,428.7,,,
3062,,2018-06-21,06-21,424.6,,,
3063,,2018-06-22,06-22,426.8,,,
3064,,2018-06-23,06-23,424.9,,,
3065,,2018-06-24,06-24,426.5,,,
3066,,2018-06-25,06-25,422.8,,,
3067,,2018-06-26,06-26,421.5,,,
3068,,2018-06-27,06-27,421.3,,,
3069,,2018-06-28,06-28,425.2,,,
3070,,2018-06-29,06-29,424.8,,,
3071,,2018-06-30,06-30,422.4,,,
3072,,2018-07-01,07-01,425.8,,,
3073,,2018-07-02,07-02,423.1,,,
3074,,2018-07-03,07-03,423.5,,,
3075,,2018-07-04,07-04,423.3,,,
3076,,2018-07-05,07-05,421.5,,,
3077,,2018-07-06,07-06,420.8,,,
3078,,2018-07-07,07-07,418.8,,,
3079,,2018-07-08,07-08,419,,,
3080,,2018-07-09,07-09,418.8,,,
3081,,2018-07-10,07-10,420.5,,,
3082,,2018-07-11,07-11,420.2,,,
3083,,2018-07-12,07-12,416.8,,,
3084,,2018-07-13,07-13,416.3,,,
3085,,2018-07-14,07-14,416.7,,,
3086,,2018-07-15,07-15,420.3,,,
3087,,2018-07-16,07-16,418.8,,,
3088,,2018-07-17,07-17,419,,,
3089,,2018-07-18,07-18,420.5,,,
3090,,2018-07-19,07-19,413.7,,,
3091,,2018-07-20,07-20,414.7,,,
3092,,2018-07-21,07-21,416,,,
3093,,2018-07-22,07-22,415.7,,,
3094,,2018-07-23,07-23,416.8,,,
3095,,2018-07-24,07-24,414.8,,,
3096,,2018-07-25,07-25,409.6,,,
3097,,2018-07-26,07-26,410.5,,,
3098,,2018-07-27,07-27,412.5,,,
3099,,2018-07-28,07-28,409.8,,,
3100,,2018-07-29,07-29,411.6,,,
3101,,2018-07-30,07-30,413.8,,,
3102,,2018-07-31,07-31,411.7,,,
3103,,2018-08-01,08-01,413.5,,,
3104,,2018-08-02,08-02,410.1,,,
3105,,2018-08-03,08-03,412.7,,,
3106,,2018-08-04,08-04,411.9,,,
3107,,2018-08-05,08-05,409.6,,,
3108,,2018-08-06,08-06,408.6,,,
3109,,2018-08-07,08-07,407.7,,,
3110,,2018-08-08,08-08,406.2,,,
3111,,2018-08-09,08-09,405,,,
3112,,2018-08-10,08-10,403.2,,,
3113,,2018-08-11,08-11,408.6,,,
3114,,2018-08-12,08-12,405.8,,,
3115,,2018-08-13,08-13,406,,,
3116,,2018-08-14,08-14,407.6,,,
3117,,2018-08-15,08-15,404.4,,,
3118,,2018-08-16,08-16,406.5,,,
3119,,2018-08-17,08-17,404.8,,,
3120,,2018-08-18,08-18,406.2,,,
3121,,2018-08-19,08-19,406.4,,,
3122,,2018-08-20,08-20,408.5,,,
3123,,2018-08-21,08-21,405.9,,,
3124,,2018-08-22,08-22,406.2,,,
3125,,2018-08-23,08-23,403.2,,,
3126,,2018-08-24,08-24,403.7,,,
3127,,2018-08-25,08-25,406.2,,,
3128,,2018-08-26,08-26,403.7,,,
3129,,2018-08-27,08-27,403.7,,,
3130,,2018-08-28,08-28,405.8,,,
3131,,2018-08-29,08-29,402.3,,,
3132,,2018-08-30,08-30,401.9,,,
3133,,2018-08-31,08-31,405,,,
3134,,2018-09-01,09-01,405.4,,,
3135,,2018-09-02,09-02,407.5,,,
3136,,2018-09-03,09-03,408.2,,,
3137,,2018-09-04,09-04,407.6,,,
3138,,2018-09-05,09-05,406.9,,,
3139,,2018-09-06,09-06,405.1,,,
3140,,2018-09-07,09-07,402.7,,,
3141,,2018-09-08,09-08,404.7,,,
3142,,2018-09-09,09-09,400.9,,,
3143,,2018-09-10,09-10,401.9,,,
3144,,2018-09-11,09-11,403.3,,,
3145,,2018-09-12,09-12,403.8,,,
3146,,2018-09-13,09-13,404,,,
3147,,2018-09-14,09-14,401.1,,,
3148,,2018-09-15,09-15,404,,,
3149,,2018-09-16,09-16,400.9,,,
3150,,2018-09-17,09-17,403.3,,,
3151,,2018-09-18,09-18,404.2,,,
3152,,2018-09-19,09-19,404.1,,,
3153,,2018-09-20,09-20,402.9,,,
3154,,2018-09-21,09-21,400.9,,,
3155,,2018-09-22,09-22,402.2,,,
3156,,2018-09-23,09-23,401.4,,,
3157,,2018-09-24,09-24,403.3,,,
3157,true,2018-09-25,09-25,402.8,,,
3158,true,2018-09-26,09-26,402.3,,,
3159,true,2018-09-27,09-27,401.7,,,
3161,,2018-09-28,09-28,401.2,,,
3162,,2018-09-29,09-29,399.5,,,
3163,,2018-09-30,09-30,400.6,,,
3164,,2018-10-01,10-01,394,,,
3165,,2018-10-02,10-02,396.6,,,
3166,,2018-10-03,10-03,397.6,,,
3167,,2018-10-04,10-04,394.4,,,
3168,,2018-10-05,10-05,395.9,,,
3169,,2018-10-06,10-06,393.6,,,
3170,,2018-10-07,10-07,392.3,,,
3171,,2018-10-08,10-08,393.3,,,
3172,,2018-10-09,10-09,393,,,
3173,,2018-10-10,10-10,394.6,,,
3174,,2018-10-11,10-11,395.1,,,
3175,,2018-10-12,10-12,395,,,
3176,,2018-10-13,10-13,390.4,,,
3177,,2018-10-14,10-14,388.9,,,
3178,,2018-10-15,10-15,386.2,,,
3179,,2018-10-16,10-16,389.6,,,
3180,,2018-10-17,10-17,389.7,,,
3181,,2018-10-18,10-18,392.2,,,
3182,,2018-10-19,10-19,391.9,,,
3183,,2018-10-20,10-20,389.3,,,
3184,,2018-10-21,10-21,390.2,,,
3185,,2018-10-22,10-22,389.6,,,
3186,,2018-10-23,10-23,389.4,,,
3187,,2018-10-24,10-24,388.2,,,
3188,,2018-10-25,10-25,387.7,,,
3189,,2018-10-26,10-26,388,,,
3190,,2018-10-27,10-27,385.1,,,
3191,,2018-10-28,10-28,384.8,,,
3192,,2018-10-29,10-29,386.1,,,
3193,,2018-10-30,10-30,386.5,,,
3194,,2018-10-31,10-31,386.1,,,
3195,,2018-11-01,11-01,390.5,,,
3195,true,2018-11-02,11-02,389.9,,,
3197,,2018-11-03,11-03,389.3,,,
3198,,2018-11-04,11-04,388.2,,,
3199,,2018-11-05,11-05,387.6,,,
3200,,2018-11-06,11-06,391.3,,,
3201,,2018-11-07,11-07,388.6,,,
3202,,2018-11-08,11-08,387.6,,,
3203,,2018-11-09,11-09,387.8,,,
3204,,2018-11-10,11-10,389.4,,,
3205,,2018-11-11,11-11,389.2,,,
3206,,2018-11-12,11-12,388.8,,,
3207,,2018-11-13,11-13,389,,,
3208,,2018-11-14,11-14,386,,,
3209,,2018-11-15,11-15,385.7,,,
3210,,2018-11-16,11-16,386.6,,,
3211,,2018-11-17,11-17,388.9,,,
3212,,2018-11-18,11-18,386.4,,,
3213,,2018-11-19,11-19,385.7,,,
3214,,2018-11-20,11-20,387.7,,,
3215,,2018-11-21,11-21,386.8,,,
3216,,2018-11-22,11-22,385,,,
3217,,2018-11-23,11-23,386.6,,,
3218,,2018-11-24,11-24,387.2,,,
3219,,2018-11-25,11-25,383.9,,,
3220,,2018-11-26,11-26,384.2,,,
3221,,2018-11-27,11-27,388,,,
3222,,2018-11-28,11-28,387.4,,,
3223,,2018-11-29,11-29,386.1,,,
3224,,2018-11-30,11-30,384.8,,,
3225,,2018-12-01,12-01,385.9,,,
3226,,2018-12-02,12-02,384.5,,,
3227,,2018-12-03,12-03,382.8,,,
3228,,2018-12-04,12-04,384.6,,,
3229,,2018-12-05,12-05,384.6,,,
3230,,2018-12-06,12-06,381.5,,,
3231,,2018-12-07,12-07,379.6,,,
3232,,2018-12-08,12-08,383.1,,,
3233,,2018-12-09,12-09,381.7,,,
3234,,2018-12-10,12-10,383.6,,,
3234,true,2018-12-11,12-11,383.4,,,
3236,,2018-12-12,12-12,383.1,,,
3237,,2018-12-13,12-13,381.6,,,
3238,,2018-12-14,12-14,385.4,,,
3239,,2018-12-15,12-15,383.6,,,
3240,,2018-12-16,12-16,384.8,,,
3241,,2018-12-17,12-17,386.7,,,
3242,,2018-12-18,12-18,385.3,,,
3243,,2018-12-19,12-19,384.4,,,
3244,,2018-12-20,12-20,384.2,,,
3245,,2018-12-21,12-21,382.8,,,
3246,,2018-12-22,12-22,383.6,,,
3247,,2018-12-23,12-23,385.4,,,
3248,,2018-12-24,12-24,388.7,,,
3249,,2018-12-25,12-25,383.4,,,
3250,,2018-12-26,12-26,383.2,,,
3251,,2018-12-27,12-27,383.7,,,
3252,,2018-12-28,12-28,388.9,,,
3253,,2018-12-29,12-29,388.9,,,
3254,,2018-12-30,12-30,388.3,,,
3255,,2018-12-31,12-31,393,,,
3256,,2019-01-01,01-01,394.3,,,
3257,,2019-01-02,01-02,394.4,,,
3258,,2019-01-03,01-03,394.1,,,
3259,,2019-01-04,01-04,397.3,,,
3260,,2019-01-05,01-05,395.5,,,
3261,,2019-01-06,01-06,395.7,,,
3262,,2019-01-07,01-07,402.3,,,
3263,,2019-01-08,01-08,399.1,,,
3264,,2019-01-09,01-09,399.5,,,
3265,,2019-01-10,01-10,399.4,,,
3266,,2019-01-11,01-11,395.3,,,
3267,,2019-01-12,01-12,396.2,,,
3268,,2019-01-13,01-13,397.9,,,
3269,,2019-01-14,01-14,398.9,,,
3270,,2019-01-15,01-15,401,,,
3271,,2019-01-16,01-16,399.1,,,
3272,,2019-01-17,01-17,400.7,,,
3273,,2019-01-18,01-18,400.8,,,
3274,,2019-01-19,01-19,399.1,,,
3275,,2019-01-20,01-20,402.7,,,
3276,,2019-01-21,01-21,401.8,,,
3277,,2019-01-22,01-22,408.3,,,
3278,,2019-01-23,01-23,404.8,,,
3279,,2019-01-24,01-24,407.7,,,
3280,,2019-01-25,01-25,406.5,,,
3281,,2019-01-26,01-26,407.6,,,
3282,,2019-01-27,01-27,405.5,,,
3282,true,2019-01-28,01-28,404.7,,,
3284,,2019-01-29,01-29,403.8,,,
3285,,2019-01-30,01-30,406,,,
3286,,2019-01-31,01-31,406.3,,,
3287,,2019-02-01,02-01,404.5,,,
3288,,2019-02-02,02-02,405.2,,,
3289,,2019-02-03,02-03,403.8,,,
3290,,2019-02-04,02-04,405.8,,,
3291,,2019-02-05,02-05,406.2,,,
3292,,2019-02-06,02-06,405.2,,,
3293,,2019-02-07,02-07,402.5,,,
3294,,2019-02-08,02-08,403,,,
3295,,2019-02-09,02-09,405.4,,,
3296,,2019-02-10,02-10,400.6,,,
3297,,2019-02-11,02-11,401.8,,,
3298,,2019-02-12,02-12,404.8,,,
3299,,2019-02-13,02-13,404.2,,,
3299,true,2019-02-14,02-14,405.3,,,
3301,,2019-02-15,02-15,406.4,,,
3302,,2019-02-16,02-16,407.1,,,
3302,true,2019-02-17,02-17,408.1,,,
3304,,2019-02-18,02-18,409.1,,,
3305,,2019-02-19,02-19,411.7,,,
3306,,2019-02-20,02-20,412.7,,,
3306,true,2019-02-21,02-21,412.1,,,
3307,true,2019-02-22,02-22,411.6,,,
3308,true,2019-02-23,02-23,411,,,
3310,,2019-02-24,02-24,410.4,,,
3311,,2019-02-25,02-25,414,,,
3311,true,2019-02-26,02-26,414.1,,,
3312,true,2019-02-27,02-27,414.2,,,
3313,true,2019-02-28,02-28,414.4,,,
3314,true,2019-03-01,03-01,414.5,,,
3315,true,2019-03-02,03-02,414.6,,,
3316,true,2019-03-03,03-03,414.7,,,
3317,true,2019-03-04,03-04,414.8,,,
3318,true,2019-03-05,03-05,415,,,
3319,true,2019-03-06,03-06,415.1,,,
3320,true,2019-03-07,03-07,415.2,,,
3321,true,2019-03-08,03-08,415.3,,,
3322,true,2019-03-09,03-09,415.4,,,
3323,true,2019-03-10,03-10,415.6,,,
3324,true,2019-03-11,03-11,415.7,,,
3325,true,2019-03-12,03-12,415.8,,,
3326,true,2019-03-13,03-13,415.9,,,
3327,true,2019-03-14,03-14,416,,,
3328,true,2019-03-15,03-15,416.2,,,
3329,true,2019-03-16,03-16,416.3,,,
3330,true,2019-03-17,03-17,416.4,,,
3331,true,2019-03-18,03-18,416.5,,,
3332,true,2019-03-19,03-19,416.6,,,
3333,true,2019-03-20,03-20,416.8,,,
3334,true,2019-03-21,03-21,416.9,,,
3335,true,2019-03-22,03-22,417,,,
3336,true,2019-03-23,03-23,417.1,,,
3337,true,2019-03-24,03-24,417.2,,,
3338,true,2019-03-25,03-25,417.3,,,
3339,true,2019-03-26,03-26,417.5,,,
